200414,201223,0.6666667
201223,201229,0.6666667
201229,210106,0.6
210106,210112,0.55
210112,210126,0.65
210126,210203,0.6
210203,210209,0.55
210209,210217,0.6
210217,210223,0.65
210223,210302,0.7
210302,210310,0.6
210310,210316,0.6
210316,210323,0.65
210323,210330,0.65
210330,210406,0.65
210406,210413,0.6
210413,210420,0.65
210420,210427,0.6
210427,210504,0.6
210504,210511,0.55
210511,210518,0.3
210518,210525,0.35
210525,210601,0.55
210601,210608,0.65
210608,210615,0.6
210615,210622,0.6
210622,210706,0.55
210706,210712,0.6
210712,210723,0.7
210723,210727,0.65
210727,210803,0.75
210803,210810,0.85
210810,210817,0.8
210817,210824,0.85
210824,210901,0.75
210901,211020,0.65
211020,211027,0.75
211027,211104,0.7894737
211104,211110,0.68421054
211110,211117,0.6
211117,211123,0.6666667
211123,211201,0.8095238
211201,211207,0.85
211207,211214,0.7
211214,211221,0.65
211221,211228,0.57894737
211228,220103,0.57894737
220103,220111,0.8
220111,220118,0.85
220118,220125,0.7
220125,220201,0.65
220201,220208,0.75
220208,220308,0.55
220308,220322,0.47368422
220322,220326,0.57894737
220326,220330,0.5
220330,220405,0.42105263
220405,220419,0.5263158
220419,220501,0.65
220501,220503,0.6
220503,220510,0.6
220510,220630,0.7
